PMID	text	Categories
32454888	corona virus disease covid-19 acute respiratory infectious disease present covid-19 specific therapeutic drug main clinical treatment symptomatic treatment control complication march national health commission people's republic china issued guideline diagnosis treatment novel coronavirus 2019-ncov infection trial version integrated traditional chinese medicine tcm treatment covid-19 purpose study summarize recent study clinic application pharmacological action chemical substance mechanism qingwen baidu decoction qbd treatment various disease suggested qbd multiple pharmacological effect anti-inflammation antiviral antibacterial immunomodulatory antipyretic used treatment sepsis epidemic hemorrhagic fever epidemic cerebrospinal meningitis infantile pneumonia sepsis-related encephalopathy epidemic encephalitis disease addition study attempt explore possible mechanism qbd prevention treatment covid-19 analysis chemical substance pharmacological action mechanism qbd paper provide reference theoretical basis prevention treatment covid-19 qbd	Treatment
32454513	emerging coronavirus sars-cov-2 pandemic present global health emergency urgent need interventions1-3 sars-cov-2 entry target cell depends binding receptor-binding domain rbd viral spike protein ace2 cell receptor24-6 report isolation characterization rbd-specific monoclonal antibody derived single cell eight sars-cov-2 infected individual identified antibody potent anti-sars-cov-2 neutralization activity correlate competitive capacity ace2 rbd binding surprisingly neither anti-sars-cov-2 antibody infected plasma cross-reacted sars-cov mers-cov rbds although substantial plasma cross-reactivity trimeric spike protein found crystal structure analysis rbd-bound antibody revealed steric hindrance inhibits viral engagement ace2 thereby block viral entry finding suggest anti-rbd antibody viral species-specific inhibitor antibody identified may candidate development sars-cov-2 clinical intervention	Treatment
32454512	outbreak coronavirus disease covid-191-3 caused severe acute respiratory syndrome coronavirus sars-cov-24 spread globally countermeasure needed treat prevent dissemination virus study report isolation specific human monoclonal antibody mabs convalescent covid-19 patient ca1 cb6 demonstrated potent sars-cov-2-specific neutralization activity vitro sars-cov-2 addition cb6 inhibited sars-cov-2 infection rhesus monkey prophylactic treatment setting structural study revealed cb6 recognizes epitope overlap angiotensin converting enzyme ace2-binding site sars-cov-2 receptor binding domain rbd thereby interfering virus receptor interaction steric hindrance direct interface-residue competition suggest cb6 deserves clinical translation	Treatment
32454500	critically ill covid-19 patient generally admitted icu respiratory insufficiency evolve multiple-organ dysfunction syndrome requiring extracorporeal organ support ongoing advance technology science progress information technology support development integrated multi-organ support platform personalized treatment according changing need patient based pathophysiological derangement observed covid-19 patient rationale emerges sequential extracorporeal therapy designed remove inflammatory mediator support different organ system absence vaccine direct therapy covid-19 extracorporeal therapy could represent option prevent organ failure improve survival enormous demand care covid-19 patient requires immediate response scientific community thus detailed review available technology provided expert followed series recommendation based current experience opinion waiting generation robust evidence trial	Treatment
32454268	objective analyze risk factor pulmonary embolism pe patient infected covid-19 conducted observational retrospective study patient severe infection covid-19 suspected pe included patient higher level d-dimer requiring intubation higher risk developing pe higher d-dimer level associated greater probability pe day determining d-dimer level respectively patient infected covid-19 requiring oti higher level d-dimer increased risk developing pe	Treatment
32454187	covid-19 case continue rise globally evidence large randomised controlled trial still lacking currently numerous trial testing potential treatment preventative option undertaken world objective summarised registered clinical trial examining treatment prevention option covid-19 additionally evaluated quality retrieved study data source clinicaltrialsgov chinese clinical trial registry european union clinical trial register systematically searched study eligibility criterion registered clinical trial examining treatment prevention option covid-19 included language country study design restriction applied excluded withdrawn cancelled study trial reporting therapeutic preventative strategy covid-19 participant intervention restriction term participants' age medical type intervention enforced registry searched using term coronavirus covid-19 inception 26th march 2020additional manual search registry also performed eligible study summarised tabulated interventional trial methodologically analysed excluding expanded access study trial testing traditional chinese medicine total trial evaluating therapeutic management option study assessing preventive strategy study examining retrieved finally study methodologically reviewed interventional treatment study mostly randomised n150 open-label n73 median number planned inclusion iqr major category intervention currently investigated discussed numerous clinical trial registered since onset covid-19 pandemic summarised data trial assist physician researcher promote patient care guide future research effort covid-19 pandemic containment	Treatment
32454157	outbreak covid-19 caused 2019-ncov sars-cov-2 become pandemic urgent need understanding mechanism identifying treatment viral infection including sars-cov associated increased level reactive oxygen specie disturbance ca caused unfolded protein response upr mediated endoplasmic reticulum er stress due exploitation virus's protein ie viroporins host cell several clinical trial on-going including testing remdesivir anti-viral chloroquine hydroxychloroquine derivative anti-malarial drug etc unfortunately drug specific limitation herein review viral protein involvement activate er stress transducer ire-1 perk atf-6 downstream signal evaluate combination therapy covid-19 mediated er stress alteration melatonin immunoregulator anti-pyretic antioxidant anti-inflammatory er stress modulator viral infection enhances protective mechanism respiratory tract disorder andrographolide isolated andrographis paniculata versatile biological activity including immunomodulation determining sars-cov-2 binding site considering property compound term anti-inflammatory antioxidant anti-pyrogenic anti-viral er stress modulation computational approach revealing andrographolide dock sars-cov2 binding site predict combination therapy may potential utility covid-19	Treatment
32454128	emergence rapid expansion coronavirus disease covid-19 require development effective countermeasure especially vaccine provide active acquired immunity virus study presented comprehensive vaccinomics approach applied complete protein data published far national center biotechnological information ncbi coronavirus data hub identified non-structural protein nsp8 3c-like proteinase spike glycoprotein potential target immune response covid-19 epitope prediction illustrated b-cell t-cell epitope associated mentioned protein shared t-cell epitope drdaamqrk qarsedkra nsp8 edmlnpnyedl eftpfdvvr 3c-like proteinase vnnsyecdipi spike glycoprotein region high potential interest high likelihood recognized human immune system vaccine construct epitope show stimulation robust primary immune response high level interferon gamma also construct best conformation respect tested innate immune receptor involving vigorous molecular mechanic solvation energy designing vaccination strategy target immune response focusing conserved epitope could generate immunity provide cross protection across betacoronaviruses additionally resistant virus evolution	Treatment
32454031	objective rapid recourse delivery failed cpr shown improve outcome pregnant patient cardiac arrest12 known whether delivery improves compromise outcome covid patient respiratory failure34 objective evaluate safety utility delivery covid-19 infected pregnant woman needing respiratory support study design retrospective observational study covid-19 infected pregnant woman pcr diagnosed severe disease defined per prior publications3 subset case previously presented without detail effect delivery disease london et al relationship status presentation outcome among pregnant woman covid-19 perinatol press study exempted irb confirmed case covid-19 twelve severe disease table among three resolved spontaneously transient respiratory support hospital discharged home one subsequently returned preterm labor delivered cesarean two week later remaining nine continued need respiratory support seven iatrogenic preterm delivery six cesarean delivery maternal respiratory distress needing increasing level respiratory support without improved oxygen saturation one early term delivery due prom one week required intensive care high-flow nasal cannula three week eight patient delivering maternal respiratory distress seven require intubation one intubated emergent cesarean delivery remained ventilator day among non-intubated four improvement oxygenation within two hour postpartum two required le respiratory support two taken completely respiratory support none three required increased level respiratory support support four seven day postpartum delivery worsen respiratory status woman persistent oxygen desaturation need increasing respiratory support among woman needing ventilator return normal respiratory status delivery occurred within hour day one patient intubated intraoperatively took longer recover possible delivery may le salutary damage lung sufficient warrant intubation series suggests maternal respiratory distress contraindication delivery	Treatment
32453889	critical care least late stage disease severely ill covid-19 patient may relatively well preserved lung compliance remain severely hypoxaemic recent theoretical study suggested direct interaction covid-19 viral protein haemoglobin hb could lead loss oxygen carrying capacity national guideline strongly support restrictive transfusion strategy critically ill right-shift hb o2 affinity curve could contribute hypoxaemia potentially harmful measured hb o2 affinity curve severely ill covid-19 patient comparison age- sex-matched control find evidence shift o2 affinity would support change clinical management	Treatment
32453702	introduction international data indicate arterial venous microvascular thrombosis disseminated intravascular coagulation occur hospitalized patient covid-19 condition characterized high level d-dimer fibrinogen prolonged prothrombin time activated partial thromboplastin time method blood sample three covid-19 patient treated hungarian intensive care unit collected analyzed clotpror test ex-tests in-test fib-tests rvv-tests tpa-tests performed interpreted respect clinical condition patient procoagulation hypercoagulation either fibrinolysis shut phenomenon fibrinolytic process found clotpror clotpror parameter consistent conventional coagulation test corresponded criterion non-overt disseminated intravascular coagulation finding encourage investigation elucidate underlying pathophysiology thromboembolic event covid-19 patient may support introduction full dose anticoagulation without antiplatelet therapy interventional clinical trial may helpful defining appropriate drug purpose algorithm administration optimal duration therapy present authorization clinical trial attempt answer question progress orv hetil	Treatment
32453451	since december novel sars-cov-2 outbreak resulted million case death worldwide clinical course among non-pregnant woman described data potential risk woman fetus remain scarce sars mers epidemic responsible miscarriage adverse fetal neonatal outcome maternal death covid-19 infection case maternal death reported april pregnant woman seem develop clinical presentation general population however severe maternal case well prematurity fetal distress stillbirth among newborn reported sars-cov-2 pandemic greatly impact prenatal management surveillance raise need clear unanimous guideline narrative review describe current knowledge coronaviruses sars mers sars-cov-2 risk consequence pregnancy summarize available current candidate therapeutic option pregnant woman finally compare current guidance proposed rcog acog give overview prenatal management utilized future data appear article protected right reserved	Prevention
32453411	australia implemented travel ban china february 1st covid-19 largely localised china modelled three scenario test impact travel ban epidemic control scenario one ban scenario two three current ban followed full partial lifting allow university student enter australia tourist 8th march used disease incidence data china air travel passenger movement china australia epidemic peak china derived incoming passenger arrival card used estimated incidence disease china using data expected proportion under-ascertainment case age specific deterministic model model epidemic scenario modelled epidemic full ban fitted observed incidence case well predicting case march 6th australia compared observed date however account imported case country modelled impact without travel ban case death epidemic remained localised china importation country occurred full travel ban reduced case impact partial lifting ban minimal may policy option conclusion travel restriction highly effective containing covid-19 epidemic australia epidemic peak china averted much larger epidemic time covid-19 largely localised china research demonstrates effectiveness travel ban applied country high disease incidence research inform decision placing lifting travel ban control measure covid-19 epidemic	Prevention
32453112	improvement technology push toward value-based health care poised telemedicine industry growth however despite benefit virtual care widespread implementation occurred coronavirus covid-19 pandemic powerful barrier hindered widespread adoption telemedicine including lack awareness implementation cost inefficiency introduced difficulty performing physical examination overall lack perceived benefit virtual care negative financial implication concern medicolegal liability regulatory restriction challenge addressed temporary state federal mandate response covid-19 pandemic however continued investment system technology well refinement regulation around telemedicine needed sustain widespread adoption patient provider	Prevention
32453010	orthopaedic surgery department montefiore medical center albert einstein college medicine located within bronx borough new york city serf densely-populated urban community since beginning coronavirus covid outbreak new york city medical center forced rapidly adapt projected influx critically ill patient aim report outline large academic orthopaedic surgery department adopted change alternative practice response daunting challenge public health region century hope report provides insight others facing similar challenge	Prevention
32452979	coronavirus disease covid-19 may lead severe inflammatory response referred cytokine storm describe case severe covid-19 infection recently diagnosed pediatric crohn's disease patient successfully treated tumor necrosis factor-alpha tnf-alpha blockade patient presented five day fever erythematous maculopapular facial rash abdominal pain without respiratory symptom sars-cov-2 pcr positive despite inpatient treatment covid-19 perianal abscess patient acutely decompensated worsening fever tachycardia fluid-refractory hypotension elevation liver enzyme transformation rash purpura extending face trunk upper lower extremity including palmar plantar surface hand foot cytokine profile revealed rising level interleukin il-6 il-8 tnf-alpha higher described either inflammatory bowel disease ibd severe covid-19 alone patient treated infliximab tnf-alpha blockade address moderately severely active crohn's disease multisystem inflammatory syndrome child mis-c temporally related covid-19 within hour infliximab treatment fever tachycardia hypotension resolved cytokine profile improved normalization tnf-alpha decrease il-6 il-8 concentration case support role blockade tnf-alpha treatment covid-19 inflammatory cascade role anti-tnf agent patient mis-c temporally related covid-19 requires investigation	Treatment
32452954	objective analyze impact covid-19 emergency elective oncological surgical activity italy summary data covid-19 emergency shocked national health system subtracting resource treatment disease impact surgical oncology still elucidate 56-question survey regarding oncological surgical activity italy covid-19 emergency sent referral center hepato-bilio-pancreatic colorectal esophago-gastric sarcoma soft-tissue tumor survey portrays situation week first case secondary transmission italy total surgical unit hospital completed survey covid-19 emergency unit reduction hospital bed median -50 surgical activity median -50 number surgical procedure decreased interquartile range per week emergency versus lombardy involved district number decreased procedure per week time interval multidisciplinary discussion surgery doubled versus week two-third department repeat multidisciplinary discussion patient commonest criterion prioritize surgery tumor biology time interval neoadjuvant therapy risk becoming unresectable tumor-related symptom oncological hub-and-spoke program planned department active conclusion survey showed surgical oncology suffered remarkable reduction activity resulting doubled waiting-list oncological hub-and-spoke program work adequately reassessment healthcare system better protect oncological path seems priority	Prevention
32452949	objective covid-19 pandemic requires conscientiously weigh timely surgical intervention colorectal cancer effort conserve hospital resource protect patient health care provider summary data professional society provided ad-hoc guidance outset covid-19 pandemic deferral surgical perioperative intervention lack specific parameter determine optimal timing surgery using grade system published evidence analyzed generate weighted statement stage site acuity presentation hospital setting specify surgery pursued time duration oncologically acceptable delay utilize non-surgical modality bridge waiting period colorectal cancer surgery prioritized emergency urgent imminent emergency oncologically urgent elective matched phase pandemic surgery covid-19 positive patient must avoided emergent imminent emergent case mostly proceed unless resource exhausted standard practice allow postponement elective case deferral nonsurgical modality stage ii iii rectal metastatic colorectal cancer oncologically urgent case may delayed week without jeopardizing oncological outcome outside established principle administration nonsurgical modality justified increase vulnerability patient covid-19 pandemic stressed already limited health care resource forced rationing triage prioritization care general specifically surgical intervention established guideline allow modification optimal timing type surgery colorectal cancer unrelated pandemic	Prevention
32452947	data vv ecmo utilized advanced therapy select patient covid-19 respiratory failure refractory traditional critical care management optimal mechanical ventilation anticipating need therapy pandemic center created targeted protocol ecmo therapy covid-19 patient allows provide life-saving therapy sickest patient without overburdening already stretched resource excessively exposing healthcare staff infection risk major regional referral program used framework well-established ecmo service-line outline specific team structure modified patient eligibility criterion cannulation strategy management protocol covid-19 ecmo program first month covid-19 outbreak massachusetts patient placed vv ecmo refractory hypoxemic respiratory failure median interquartile range age year patient male obese cannulation performed bedside intensive care unit patient undergone trial rescue therapy acute respiratory distress syndrome including lung protective ventilation paralysis prone positioning inhaled nitric oxide time report patient still alive death ecmo attributed hemorrhagic stroke patient successfully decannulated including successfully extubated one discharged hospital median duration vv ecmo therapy patient decannulated day day conclusion first case series describing vv ecmo outcome covid-19 patient initial data suggest vv ecmo successfully utilized appropriately selected covid-19 patient advanced respiratory failure	Treatment
32452941	objective first 2-part article discus essential case management practice strategy amidst novel coronavirus disease covid-19 series showcase potential professional case manager support managing crisis global pandemic part discus reenvisioned role responsibility case manager leader known address patients' need crisis special focus telehealth tele-case management surge capacity redeployment discharge planning transition care primary practice setting applicable various case management practice setting across continuum health human service especially acute care finding conclusion covid-19 global pandemic crisis brought unprecedented challenge professional case manager health care professional also provided opportunity innovation partnership within across health care organization various care setting patient support system access necessary service importantly created renewed interest telehealth facilitated wider adoption approach care delivery ever pandemic also increased use nontraditional site care importantly operate virtually electronic network health information system technology remote visit e-visits virtual care tele-monitoring undoubtedly provided new opportunity tele-case management service role professional case manager virtual world health human service delivery implication case management practice professional case manager integral member interprofessional health care team role even necessary global pandemic covid-19 practice case management forever change-for better experience crisis health care brought ever-lasting implication case management professional raised awareness site care never popular resulting increased need recognition tele-case management practice virtual case manager also forced partnership collaboration among diverse context health care organization public private industry regardless whether directly involved delivery care support service role new innovative approach provision care case management service without doubt become routine expectation beyond current pandemic period special note enhanced role case manager discharge planning transition care	Prevention
32452940	objective second 2-part article discus essential case management practice strategy amidst novel coronavirus disease covid-19 series showcase potential professional case manager support managing crisis global pandemic part ii continues describe reenvisioned role responsibility case manager leader meet need patient support system crisis focus increased need end-of-life care impact workers' compensation case management practice self-care need professional case manager primary practice setting applicable various case management practice setting across continuum health human service special focus acute care finding conclusion covid-19 global pandemic resulted crisis case manager health care professional never faced something like time provided opportunity innovation creativity including use digital telecommunication technology new way ensure continued delivery health human service need regardless location also resulted development necessary impactful partnership within across different health care organization diverse professional discipline importantly pandemic required special attention increased need patient timely palliative end-of-life care addition prompted focus safety health well-being case manager health care professional resulting expanded workers' compensation case management practice coupled need self-care resilience implication case management practice professional case manager integral member interprofessional health care team role responsibility even necessary uncertainty global pandemic covid-19 far experience crisis resulted deliberate need ensure safety recipient health care service responsible provision care self-care resilience health care professional case manager especially due complex dynamic covid-19 pandemic advanced desirable necessary view remote virtual practice strategy enhancing person's health well-being pandemic forced development impactful partnership collaboration among diverse context health care organization support service provider context care delivery also emphasized necessary legal ethical practice case manager involved party expert agree innovative care delivery practiced pandemic undoubtedly remain desirable beyond current crisis period	Prevention
32452908	dialysis patient vulnerable susceptible severe coronavirus disease covid-19 infection due multiple comorbidities since taiwan highest incidence prevalence treated end-stage kidney disease worldwide crucial act advance prevent potential disaster face covid-19 pandemic implement proactive infection control measure prevent spreading without sacrificing dialysis care quality article focused hemodialysis vascular access hva care particular life-line hemodialysis hd patient hva care profound impact patient's quality dialysis life specifically facility working office area hd unit separated reduce cross-infection elective procedure hva postponed operating room equipped negative-pressure anteroom used suspected confirmed covid-19 patient herein share modified hva care policy prevent patient covid-19 infection also maintain quality hva care	Prevention
32452905	introduction current coronavirus disease covid-19 pandemic led significant disruption care pain chronic subacute condition impact cessation pain treatment may unintended consequence increased pain reduced function increased reliance opioid medication potential increased morbidity due systemic impact untreated disease burden may include decreased mobility reduction overall health status increase opioid use associated risk article work american society pain neuroscience aspn covid-19 task force evaluate policy set forth federal state local agency reduce eliminate elective procedure patient pain spine nerve joint disease impact decision needed reduce spread pandemic led delay care many patient hence review emergence plan reinitiate pain-related care goal outline path work federal state local authority combat spread pandemic minimize deleterious impact pain suffering chronic pain patient result paper set forth strategy interventional pain center reemerge current pandemic set course future event	Prevention
32452889	objective investigate patients' characteristic management outcome critically ill population admitted icu severe acute respiratory syndrome coronavirus disease pneumonia causing acute respiratory distress syndrome design retrospective case-control study setting 34-bed icu tertiary hospital patient first coronavirus disease acute respiratory distress syndrome patient compared historical control group consecutive acute respiratory distress syndrome patient admitted icu coronavirus disease crisis intervention none measurement main obesity frequent comorbidity exhibited coronavirus disease patient control despite severity illness level hypoxemia admission coronavirus disease patient failed high flow oxygen via nasal cannula challenge control often intubated control paralyzed control required higher level positive end-expiratory pressure cm h2o control prone positioning control dialysis control hemodynamic support vasopressor control often prolonged weaning mechanical ventilation control resulting frequent resort tracheostomy control however intensive management requiring staff per patient positioning coronavirus disease subject control yielded icu survival rate two group control conclusion severe form coronavirus disease pneumonia striked preferentially vulnerable obese population evolved toward multiple organ failure required prolonged mechanical ventilatory support resulted high workload caregiver	Treatment
32452888	objective determine mortality rate among adult critical illness coronavirus disease design observational cohort study patient admitted march april setting six coronavirus disease designated icu three hospital within academic health center network atlanta georgia united state patient adult greater equal year old confirmed severe acute respiratory syndrome-cov-2 disease admitted icu study period intervention none measurement main among critically ill patient mortality required mechanical ventilation patient still ventilator time report overall mortality date critically ill cohort patient survived hospital discharge mortality significantly associated older age lower body mass index chronic renal disease higher sequential organ failure assessment score lower pao2 fio2 ratio higher d-dimer higher c-reactive protein receipt mechanical ventilation vasopressor renal replacement therapy vasodilator therapy conclusion despite multiple report mortality rate exceeding among critically ill adult coronavirus disease particularly among requiring mechanical ventilation early experience indicates many patient survive critical illness	Treatment
