# ===========================================================================
#
#                            PUBLIC DOMAIN NOTICE
#               National Center for Biotechnology Information
#
#  This software/database is a "United States Government Work" under the
#  terms of the United States Copyright Act.  It was written as part of
#  the author's official duties as a United States Government employee and
#  thus cannot be copyrighted.  This software/database is freely available
#  to the public for use. The National Library of Medicine and the U.S.
#  Government have not placed any restriction on its use or reproduction.
#
#  Although all reasonable efforts have been taken to ensure the accuracy
#  and reliability of the software and data, the NLM and the U.S.
#  Government do not and cannot warrant the performance or results that
#  may be obtained by using this software or data. The NLM and the U.S.
#  Government disclaim all warranties, express or implied, including
#  warranties of performance, merchantability or fitness for any particular
#  purpose.
#
#  For daily update, we screen the search results of this PubMed query:
#  "coronavirus"[All Fields] OR "ncov"[All Fields] OR "cov"[All Fields] OR
#  "2019-nCoV"[All Fields] OR "COVID-19"[All Fields] OR "SARS-CoV-2"[All Fields].
#  Relevant articles are identified and curated with assistance from an automated
#  machine-learning and text-classification algorithm.
#
#  Please cite the authors in any work or product based on this material :
#
#  Chen Q, Allot A, & Lu Z. (2020) Keep up with the latest coronavirus research, Nature 579:193
#
# ==========================================================================
pmid	title	journal
32504526	Correction to the article "Excess Mortality Estimation During the COVID-19 Pandemic: Preliminary Data from Portugal", published on Acta Med Port 2020 Jun;33(6):376-383.	Acta Med Port
32504525	Correction to the article "Cesarean Section in a Pregnant Woman with COVID-19: First Case in Portugal", published on Acta Med Port 2020 Jun;33(6):429-431.	Acta Med Port
32504510	[Medical Professionalism and the Social Contract: Reflections on the COVID-19 Pandemic].	Acta Med Port
32504509	[How Acta Medica Portuguesa Adjusted to Pandemic Times].	Acta Med Port
32504465	Letter: A Guide to the Prioritization of Neurosurgical Cases After the COVID-19 Pandemic.	Neurosurgery
32504463	Battling COVID-19 in Bangladesh: A Conversation with Dr. John Clemens of icddr,b.	Am J Trop Med Hyg
32504462	COVID-19, Quarantines, Sheltering-in-Place, and Human Rights: The Developing Crisis.	Am J Trop Med Hyg
32504458	A case of subacute thyroiditis associated with Covid-19 infection.	J Endocrinol Invest
32504454	Manifestations in Neonates Born to COVID-19 Positive Mothers.	Indian J Pediatr
32504450	Dysfunctional Coagulation in COVID-19: From Cell to Bedside.	Adv Ther
32504449	Diagnosis of venous and arterial thromboembolic events in COVID-19 virus-infected patients.	J Thromb Thrombolysis
32504371	Gastric Occlusion due to the Intragastric Balloon Displacement in the Era of Coronavirus Disease-19 (COVID-19) Pandemic, Operative Management: a Case Report.	Obes Surg
32504363	Changing the Landscape of Medical Oncology Training at the National University Hospital in the Philippines during the Coronavirus Disease 2019 (COVID-19) Pandemic.	J Cancer Educ
32504360	SARS-CoV-2 infection in infants under 1 year of age in Wuhan City, China.	World J Pediatr
32504351	The New Virtual Reality: Advanced Endoscopy Education in the COVID-19 Era.	Dig Dis Sci
32504348	Conquering COVID-19: How DDS Is CoVering the Pandemic.	Dig Dis Sci
32504280	Effect of shelter-in-place on emergency department radiology volumes during the COVID-19 pandemic.	Emerg Radiol
32504274	Letter to The Editor: COVID-19: Looking South and East in the World for Guidance.	World J Surg
32504266	Clinical implications of COVID-19 in patients with chronic liver disease and liver tumor.	Updates Surg
32504252	Responding to COVID-19: What's the Problem?	J Urban Health
32504251	COVID-19 and Food Insecurity: an Uneven Patchwork of Responses.	J Urban Health
32504235	Sexual Behaviors During COVID-19: The Potential Risk of Transmission.	Arch Sex Behav
32504213	Risk of a second wave of Covid-19 infections: using artificial intelligence to investigate stringency of physical distancing policies in North America.	Int Orthop
32504198	The burden of thrombotic complications in critically ill patients with COVID-19: charting the uncharted.	Intern Emerg Med
32504168	Impact of glycoscience in fighting Covid-19.	Glycoconj J
32504146	Gross and histopathological pulmonary findings in a COVID-19 associated death during self-isolation.	Int J Legal Med
32504142	Health resort medicine can be a suitable setting to recover disabilities in patients tested negative for COVID-19 discharged from hospital? A challenge for the future.	Int J Biometeorol
32504135	Point-of-care lung ultrasound in three neonates with COVID-19.	Eur J Pediatr
32504123	COVID-19 research: toxicological input urgently needed!	Arch Toxicol
32504106	[Increased risk of deep vein thrombosis in intensive care unit patients with CoViD-19 infections?-Preliminary data].	Chirurg
32504103	Ten things we learned about COVID-19.	Intensive Care Med
32504100	Ocular manifestations of coronavirus disease 2019.	Graefes Arch Clin Exp Ophthalmol
32504061	SARS-CoV-2 cross-reactivity in healthy donors.	Nat Rev Immunol
32504060	Immune evasion via SARS-CoV-2 ORF8 protein?	Nat Rev Immunol
32504059	Many paths to COVID-19 lymphocyte dysfunction.	Nat Rev Immunol
32504052	Seroprevalence of immunoglobulin M and G antibodies against SARS-CoV-2 in China.	Nat Med
32504046	Implications of antibody-dependent enhancement of infection for SARS-CoV-2 countermeasures.	Nat Biotechnol
32504026	Frozen cells and empty cages: researchers struggle to revive stalled experiments after the lockdown.	Nature
32504025	High-profile coronavirus retractions raise concerns about data oversight.	Nature
32504022	Coronavirus diaries: taking leave, but not holiday.	Nature
32504021	The pandemic mixed up what scientists study - and some won't go back.	Nature
32504020	The biggest mystery: what it will take to trace the coronavirus source.	Nature
32504019	The coronavirus outbreak could make it quicker and easier to trial drugs.	Nature
32504018	Scientists' worlds will shrink in the wake of the pandemic.	Nature
32504017	India expands use of controversial drug for coronavirus despite safety concerns.	Nature
32504016	The pandemic is challenging China's breakneck race to the top of science.	Nature
32504015	Will the pandemic permanently alter scientific publishing?	Nature
32504014	Universities will never be the same after the coronavirus crisis.	Nature
32503987	COVID-19 impact on early career investigators: a call for action.	Nat Rev Cancer
32503959	Indian Association of Gastrointestinal Endo Surgeons COVID-19 endoscopy recommendations.	J Minim Access Surg
32503958	Surgical practice recommendations for minimal access surgeons during COVID 19 pandemic - Indian inter-society directives.	J Minim Access Surg
32503933	Reimagining healthcare after covid-19: a new normal for medicine.	BMJ
32503924	Children of COVID-19: pawns, pathfinders or partners?	J Med Ethics
32503918	Enhanced receptor binding of SARS-CoV-2 through networks of hydrogen-bonding and hydrophobic interactions.	Proc Natl Acad Sci U S A
32503898	Grand rounds: a precious resource to be nurtured.	Pract Neurol
32503892	Are we all in this together? Longitudinal assessment of cumulative adversities by socioeconomic position in the first 3 weeks of lockdown in the UK.	J Epidemiol Community Health
32503891	The paradox of success and public perspective: COVID-19 and the perennial problem of prevention.	J Epidemiol Community Health
32503889	Prioritising the role of community health workers in the COVID-19 response.	BMJ Glob Health
32503883	Defining causality in COVID-19 and neurological disorders.	J Neurol Neurosurg Psychiatry
32503877	Inhibition of Bruton tyrosine kinase in patients with severe COVID-19.	Sci Immunol
32503874	Efficacy of remdesivir in patients with COVID-19: a protocol for systematic review and meta-analysis of randomised controlled trials.	BMJ Open
32503864	Covid-19: transforming healthcare will require collaboration and innovative policies.	BMJ
32503860	COVID-19 pandemic: an opportunity to assess the utility of telemedicine in patients with rheumatic diseases.	Ann Rheum Dis
32503857	Clinical features and outcomes of COVID-19 in patients with rheumatic diseases treated with biological and synthetic targeted therapies.	Ann Rheum Dis
32503856	Telemedicine: a useful tool but not the holy grail. Response to: 'Telemedicine will not keep us apart in the COVID-19 pandemic' by Perniola et al.	Ann Rheum Dis
32503855	Candidate rheumatologic treatments for COVID-19. Response to: 'COVID-19 infection in a patient with FMF: does colchicine have a protective effect?' by Kobak.	Ann Rheum Dis
32503854	EULAR provisional recommendations for the management of rheumatic and musculoskeletal diseases in the context of SARS-CoV-2.	Ann Rheum Dis
32503853	COVID-19 infection in a patient with FMF: does colchicine have a protective effect?	Ann Rheum Dis
32503851	Telemedicine will not keep us apart in COVID-19 pandemic.	Ann Rheum Dis
32503850	Response to: 'COVID-19 pandemic: an opportunity to assess the utility of telemedicine in patients with rheumatic diseases' by Lopez-Medina et al.	Ann Rheum Dis
32503849	Severe COVID-19-associated pneumonia in 3 patients with systemic sclerosis treated with rituximab.	Ann Rheum Dis
32503848	Response to: 'Severe COVID-19 associated pneumonia in 3 patients with systemic sclerosis treated with rituximab' by Avouac et al.	Ann Rheum Dis
32503847	Multi-Center Evaluation of the Cepheid Xpert Xpress SARS-CoV-2 Assay for the Detection of SARS-CoV-2 in Oropharyngeal Swab Specimens.	J Clin Microbiol
32503846	Safely restarting GI endoscopy in the era of COVID-19.	Gut
32503838	Effects of COVID-19 Lockdown on Glucose Control: Continuous Glucose Monitoring Data From People With Diabetes on Intensive Insulin Therapy.	Diabetes Care
32503837	Type 1 Diabetes and COVID-19: Preliminary Findings From a Multicenter Surveillance Study in the U.S.	Diabetes Care
32503831	Lockdown During COVID-19: The Greek Success.	In Vivo
32503830	The Effect of Coronavirus (COVID-19) on Breast Cancer Teamwork: A Multicentric Survey.	In Vivo
32503829	COVID-19 Incidentally Detected on PET/CT During Work-up for Locally Advanced Head and Neck Cancer.	In Vivo
32503828	Radiation Therapy During the COVID-19 Pandemic: Experience from Beijing, China.	In Vivo
32503827	Breast Cancer Surgery During the COVID-19 Pandemic: An Observational Clinical Study of the Breast Surgery Clinic at Ospedale Policlinico San Martino - Genoa, Italy.	In Vivo
32503826	Tor Vergata University-Hospital in the Beginning of COVID-19-Era: Experience and Recommendation for Breast Cancer Patients.	In Vivo
32503825	Breast Cancer and COVID-19: The Effect of Fear on Patients' Decision-making Process.	In Vivo
32503824	Endoplasmic Reticulum Stress Markers in SARS-COV-2 Infection and Pneumonia: Case-Control Study.	In Vivo
32503823	A New Method for Testing Filtration Efficiency of Mask Materials Under Sneeze-like Pressure.	In Vivo
32503822	Human Gene Sequences in SARS-CoV-2 and Other Viruses.	In Vivo
32503821	SARS-CoV-2 orf1b Gene Sequence in the NTNG1 Gene on Human Chromosome 1.	In Vivo
32503820	Ocular Manifestations of COVID-19 (SARS-CoV-2): A Critical Review of Current Literature.	In Vivo
32503819	Coronavirus Disease (COVID-19): A Machine Learning Bibliometric Analysis.	In Vivo
32503818	Medical and Surgical Education Challenges and Innovations in the COVID-19 Era: A Systematic Review.	In Vivo
32503817	Potential Antiviral Drugs for SARS-Cov-2 Treatment: Preclinical Findings and Ongoing Clinical Research.	In Vivo
32503816	Oral Methioninase for Covid-19 Methionine-restriction Therapy.	In Vivo
32503815	Role of Interleukin-6 in Lung Complications in Patients With COVID-19: Therapeutic Implications.	In Vivo
32503814	COVID-19: The Potential Role of Copper and N-acetylcysteine (NAC) in a Combination of Candidate Antiviral Treatments Against SARS-CoV-2.	In Vivo
32503812	Elevation of blood glucose level predicts worse outcomes in hospitalized patients with COVID-19: a retrospective cohort study.	BMJ Open Diabetes Res Care
32503806	The World of Clinical Trial Development Post-Covid-19: Lessons Learned from a Global Pandemic.	Clin Cancer Res
32503805	Covid-19: Hydroxychloroquine was ineffective as postexposure prophylaxis, study finds.	BMJ
32503802	Risky Business: lessons from covid-19.	BMJ
32503801	Does vitamin D deficiency increase the severity of COVID-19?	Clin Med (Lond)
32503800	Prone positioning in conscious patients on medical wards: A review of the evidence and its relevance to patients with COVID-19 infection.	Clin Med (Lond)
32503799	Abrupt deterioration and pulmonary embolism in COVID-19: a case report.	Clin Med (Lond)
32503793	Covid-19: democracy and hard choices in public health.	BMJ
32503729	COVID-19 and transplant research from China: An ethical dilemma.	J Heart Lung Transplant
32503728	COVID-19 pneumonia in a dual heart-kidney recipient.	J Heart Lung Transplant
32503708	Utilization and Appropriateness of Transthoracic Echocardiography in Response to the COVID-19 Pandemic.	J Am Soc Echocardiogr
32503707	Echocardiography in Pandemic: Front-Line Perspective, Expanding Role of Ultrasound, and Ethics of Resource Allocation.	J Am Soc Echocardiogr
32503706	Bedside Focused Cardiac Ultrasound in COVID-19 from the Wuhan Epicenter: The Role of Cardiac Point-of-Care Ultrasound, Limited Transthoracic Echocardiography, and Critical Care Echocardiography.	J Am Soc Echocardiogr
32503705	Echocardiography in the Time of COVID-19.	J Am Soc Echocardiogr
32503704	ASE Statement on Point-of-Care Ultrasound during the 2019 Novel Coronavirus Pandemic.	J Am Soc Echocardiogr
32503703	Specific Considerations for the Protection of Patients and Echocardiography Service Providers When Performing Perioperative or Periprocedural Transesophageal Echocardiography during the 2019 Novel Coronavirus Outbreak: Council on Perioperative Echocardiography Supplement to the Statement of the American Society of Echocardiography Endorsed by the Society of Cardiovascular Anesthesiologists.	J Am Soc Echocardiogr
32503702	Specific Considerations for Pediatric, Fetal, and Congenital Heart Disease Patients and Echocardiography Service Providers during the 2019 Novel Coronavirus Outbreak: Council on Pediatric and Congenital Heart Disease Supplement to the Statement of the American Society of Echocardiography: Endorsed by the Society of Pediatric Echocardiography and the Fetal Heart Society.	J Am Soc Echocardiogr
32503701	Specific Considerations for Sonographers When Performing Echocardiography during the 2019 Novel Coronavirus Outbreak: Supplement to the American Society of Echocardiography Statement.	J Am Soc Echocardiogr
32503700	ASE Statement on Protection of Patients and Echocardiography Service Providers During the 2019 Novel Coronavirus Outbreak: Endorsed by the American College of Cardiology.	J Am Soc Echocardiogr
32503680	Elevation of plasma angiotensin II level is a potential pathogenesis for the critically ill COVID-19 patients.	Crit Care
32503668	Neutrophil-to-lymphocyte ratio as a predictive biomarker for moderate-severe ARDS in severe COVID-19 patients.	Crit Care
32503663	Sargramostim to treat patients with acute hypoxic respiratory failure due to COVID-19 (SARPAC): A structured summary of a study protocol for a randomised controlled trial.	Trials
32503662	Norwegian Coronavirus Disease 2019 (NO COVID-19) Pragmatic Open label Study to assess early use of hydroxychloroquine sulphate in moderately severe hospitalised patients with coronavirus disease 2019: A structured summary of a study protocol for a randomised controlled trial.	Trials
32503659	Body temperature correlates with mortality in COVID-19 patients.	Crit Care
32503657	The Mechanism and Clinical Outcome of patients with Corona Virus Disease 2019 Whose Nucleic Acid Test has changed from negative to positive, and the therapeutic efficacy of Favipiravir: A structured summary of a study protocol for a randomised controlled trial.	Trials
32503621	Angiotensin II administration to COVID-19 patients is not advisable.	Crit Care
32503620	Adding Colchicine to the Antiretroviral Medication - Lopinavir/Ritonavir (Kaletra) in Hospitalized Patients with Non-Severe Covid-19 Pneumonia: A Structured Summary of a Study Protocol for a Randomized Controlled Trial.	Trials
32503617	Clinical characteristics of invasive pulmonary aspergillosis in patients with COVID-19 in Zhejiang, China: a retrospective case series.	Crit Care
32503613	An urgent call to address the nutritional status of women and children in Nepal during COVID-19 crises.	Int J Equity Health
32503605	How COVID-19 pandemic changed our communication with families: losing nonverbal cues.	Crit Care
32503602	Two Randomized Controlled Trials of Bacillus Calmette-Guerin Vaccination to reduce absenteeism among health care workers and hospital admission by elderly persons during the COVID-19 pandemic: A structured summary of the study protocols for two randomised controlled trials.	Trials
32503600	In-hospital airway management of COVID-19 patients.	Crit Care
32503593	Admission decisions to intensive care units in the context of the major COVID-19 outbreak: local guidance from the COVID-19 Paris-region area.	Crit Care
32503590	The challenge of ventilator-associated pneumonia diagnosis in COVID-19 patients.	Crit Care
32503588	COVID-19-immunity from prosecution for physicians forced to allocate scarce resources: the Italian perspective.	Crit Care
32503382	Biomarkers associated with COVID-19 disease progression.	Crit Rev Clin Lab Sci
32503352	Genomic Sequencing and Analysis of Eight Camel-Derived Middle East Respiratory Syndrome Coronavirus (MERS-CoV) Isolates in Saudi Arabia.	Viruses
32503333	A Visual Approach for the SARS (Severe Acute Respiratory Syndrome) Outbreak Data Analysis.	Int J Environ Res Public Health
32503305	Impact of COVID-19 on Urology Practice: A Global Perspective and Snapshot Analysis.	J Clin Med
32503304	Increased Risk of COVID-19-Related Deaths among General Practitioners in Italy.	Healthcare (Basel)
32503298	AI Chatbot Design during an Epidemic Like the Novel Coronavirus.	Healthcare (Basel)
32503205	Distress and Resilience in the Days of COVID-19: Comparing Two Ethnicities.	Int J Environ Res Public Health
32503192	A Comparison of Infection Venues of COVID-19 Case Clusters in Northeast China.	Int J Environ Res Public Health
32503180	Fatal Outcomes of COVID-19 in Patients with Severe Acute Kidney Injury.	J Clin Med
32503173	Dietary Choices and Habits during COVID-19 Lockdown: Experience from Poland.	Nutrients
32503172	Psychosocial and Behavioral Impact of COVID-19 in Autism Spectrum Disorder: An Online Parent Survey.	Brain Sci
32503169	Crafting Jobs for Occupational Satisfaction and Innovation among Manufacturing Workers Facing the COVID-19 Crisis.	Int J Environ Res Public Health
32503140	Human T leukaemia Type 1 and COVID-19.	Pathogens
32503117	Lassa Fever: Viral Replication, Disease Pathogenesis, and Host Immune Modulations.	Pathogens
32503092	Risk of COVID-19 infection in MS and neuromyelitis optica spectrum disorders.	Neurol Neuroimmunol Neuroinflamm
32503088	A systematic review of neurological manifestations of SARS-CoV-2 infection: the devil is hidden in the details.	Eur J Neurol
32503087	Regarding: Lui RN, Wong SH, Sanchez-Luna SA, et al. Overview of guidance for endoscopy during the coronavirus disease 2019 pandemic. J Gastroenterol Hepatol. 2020;35(5):749-759. doi:10.1111/jgh.15053.	J Gastroenterol Hepatol
32503084	Miller-Fisher syndrome after SARS-CoV-2 infection.	Eur J Neurol
32503080	Concomitant brain arterial and venous thrombosis in a COVID-19 patient.	Eur J Neurol
32503076	Management of Care for Neonates Born to SARS-CoV-2 Positive Women with or without Clinical Symptoms (COVID-19).	Klin Padiatr
32503062	Will We Miss the Opportunity Again?	Homeopathy
32503061	Homeopathic Clinical Features of 18 Patients in COVID-19 Outbreaks in Hong Kong.	Homeopathy
32503058	Vertical Transmission of SARS-CoV-2: What is the Optimal Definition?	Am J Perinatol
32502958	Proposed guidelines for screening of hyperglycemia in patients hospitalized with COVID-19 in low resource settings.	Diabetes Metab Syndr
32502937	COVID-19 spread: The Italian case.	Respir Med Res
32502901	Ribosomal proteins as a possible tool for blocking SARS-COV 2 virus replication for a potential prospective treatment.	Med Hypotheses
32502882	Continuing versus suspending angiotensin-converting enzyme inhibitors and angiotensin receptor blockers: Impact on adverse outcomes in hospitalized patients with severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)--The BRACE CORONA Trial.	Am Heart J
32502844	The evaluation of sleep disturbances for Chinese frontline medical workers under the outbreak of COVID-19.	Sleep Med
32502830	Psychological and coping responses to COVID-19 amongst residents in training across ACGME-I accredited specialties in Singapore.	Psychiatry Res
32502829	Why we need longitudinal mental health research with children and youth during (and after) the COVID-19 pandemic.	Psychiatry Res
32502828	Avoiding a new epidemic during a pandemic: The importance of assessing the risk of substance use disorders in the COVID-19 era.	Psychiatry Res
32502827	COVID 19 related Psychosis as an interface of fears, socio-cultural issues and vulnerability- case report of two women from India.	Psychiatry Res
32502825	Assessing the psychological response to the COVID-19: A response to Bitan et al. "Fear of COVID-19 scale: Psychometric characteristics, reliability and validity in the Israeli population".	Psychiatry Res
32502822	Uncertainty surrounding the use of face masks in the community amid the COVID-19 pandemic.	Int J Nurs Stud
32502806	Health anxiety, cyberchondria, and coping in the current COVID-19 pandemic: Which factors are related to coronavirus anxiety?	J Anxiety Disord
32502796	Changes in breast cancer management during the Corona Virus Disease 19 pandemic: An international survey of the European Breast Cancer Research Association of Surgical Trialists (EUBREAST).	Breast
32502759	A modified barrier enclosure to prevent viral aerosol transmission during endotracheal intubation and extubation of patients with coronavirus disease.	J Clin Anesth
32502757	COVID 19: Disruptive impacts and transformative opportunities in undergraduate nurse education.	Nurse Educ Pract
32502749	US deportation policies in the time of COVID-19: a public health threat to the Americas.	Public Health
32502748	Is it time to consider an income guarantee for the period that patients with COVID-19 spend in isolation: an Indian perspective.	Public Health
32502747	COVID-19 and healthcare systems: What should we do next?	Public Health
32502733	Exploring the genomic and proteomic variations of SARS-CoV-2 spike glycoprotein: A computational biology approach.	Infect Genet Evol
32502723	Nursing education in a pandemic: Academic challenges in response to COVID-19.	Nurse Educ Today
32502708	Impact of the coronavirus (COVID-19) outbreak on obstetric and gynaecological surgery - A letter to the editor on "Impact of the coronavirus (COVID-19) pandemic on surgical practice - Part 2 (surgical prioritisation)". Correspondence.	Int J Surg
32502707	Convalescent plasma therapy in the treatment of COVID-19: practical considerations: Correspondence.	Int J Surg
32502706	Provisions for Obstetrics and Gynaecology - letter to the editor on "Impact of the coronavirus (COVID-19) pandemic on surgical practice - Part 2 (surgical prioritisation)": A correspondence.	Int J Surg
32502703	Turning a surgical unit into a COVID-19 facility: governance counts. Correspondence.	Int J Surg
32502702	An Invited Commentary on Impact of the Coronavirus (COVID-19) pandemic on surgical practice- -Part 1.	Int J Surg
32502699	Poverty, inequality and COVID-19: the forgotten vulnerable.	Public Health
32502693	The Australian response to the COVID-19 pandemic and diabetes - lessons learned.	Diabetes Res Clin Pract
